STFIPS,STATE,COUNTY,Population change 1910-1920,Population change 1920-1930,Population change 1930-1940,Population change 1940-1950,Population change 1950-1960,Population change 1960-1970,Population change 1970-1980,Population change 1980-1990,Population change 1990-2000,Population change 2000-2010
21035,Kentucky,Calloway,935,"-3,140","1,379","1,106",825,"6,720","2,339",704,"3,442","3,014"
21037,Kentucky,Campbell,"2,499","11,523","-1,473","4,278","10,607","1,698","-5,184",549,"4,750","1,720"
21039,Kentucky,Carlisle,-817,-868,under 500,"-1,444",-598,under 500,under 500,under 500,under 500,under 500
21041,Kentucky,Carroll,under 500,under 500,502,under 500,-539,545,747,under 500,863,656
21043,Kentucky,Carter,508,"1,365","1,706","-2,986","-1,742",-967,"5,210",-720,"2,540",840
21045,Kentucky,Casey,"1,734",under 500,"3,215","-2,516","-3,119","-1,397","1,888",-607,"1,236",508
21047,Kentucky,Christian,"-2,962","-1,600","1,846","6,230","14,545",-680,"10,654","2,063","3,367","1,647"
21049,Kentucky,Clark,under 500,under 500,under 500,910,"2,177","3,015","4,232","1,174","3,648","2,469"
21051,Kentucky,Clay,"2,006","-1,269","5,375",-785,"-2,368","-2,267","4,271","-1,006","2,810","-2,826"
21053,Kentucky,Clinton,under 500,under 500,"1,275",under 500,"-1,719",-712,"1,147",under 500,under 500,638
21055,Kentucky,Crittenden,under 500,"-1,194",under 500,"-1,297","-2,170",under 500,714,under 500,under 500,under 500
21057,Kentucky,Cumberland,800,under 500,"1,659","-2,614","-1,474",-985,under 500,-505,under 500,under 500
21059,Kentucky,Daviess,under 500,"3,046","8,556","4,906","13,347","8,898","6,463","1,240","4,360","5,107"
21061,Kentucky,Edmonson,under 500,581,under 500,"-1,968","-1,291",666,"1,211",under 500,"1,289",515
21063,Kentucky,Elliott,-927,"-1,316","1,142","-1,628",-755,under 500,975,under 500,under 500,"1,096"
21065,Kentucky,Estill,"3,296","1,510",899,"-3,301","-2,211",under 500,"1,743",under 500,693,-635
21067,Kentucky,Fayette,"6,949","13,879","10,356","21,847","31,160","42,417","29,842","21,201","35,146","35,291"
21069,Kentucky,Fleming,under 500,"-2,683",under 500,"-1,365","-1,072",under 500,957,under 500,"1,500",556
21071,Kentucky,Floyd,"8,804","14,515","11,044",514,"-11,858","-5,753","12,875","-5,178","-1,143","-2,992"
21073,Kentucky,Flin,"-1,778","1,707","2,244","2,625","3,488","5,060","7,349","1,951","3,906","1,598"
21075,Kentucky,Fulton,"1,083",under 500,under 500,"-1,745","-2,412","-1,073","-1,212",-700,-519,-939
21077,Kentucky,Gallatin,under 500,under 500,under 500,under 500,under 500,under 500,708,551,"2,477",719
21079,Kentucky,Garrard,609,-941,under 500,-881,"-1,282",under 500,"1,396",726,"3,213","2,120"
21081,Kentucky,Grant,under 500,-559,under 500,under 500,under 500,510,"3,309","2,429","6,647","2,278"
21083,Kentucky,Graves,"-1,056","-1,705",985,under 500,"-1,343",918,"3,110",under 500,"3,478",under 500
21085,Kentucky,Grayson,under 500,"-2,872",507,under 500,"-1,229",611,"4,409",under 500,"3,005","1,691"
21087,Kentucky,Green,under 500,under 500,920,"-1,060",under 500,-899,693,-672,"1,144",under 500
21089,Kentucky,Greenup,"1,587","4,492",under 500,under 500,"4,351","3,954","5,940","-2,390",under 500,under 500
21091,Kentucky,Hancock,"-1,567",-798,660,-798,-679,"1,750",662,under 500,529,under 500
21093,Kentucky,Hardin,"1,591","-3,374","8,195","21,204","17,477","10,632","10,496",under 500,"4,934","11,369"
21095,Kentucky,Harlan,"20,980","33,011","10,718","-3,524","-20,644","-13,737","4,519","-5,315","-3,372","-3,924"
21097,Kentucky,Harrison,"-1,075",-939,under 500,"-1,388",under 500,under 500,"1,008","1,082","1,735",863
21099,Kentucky,Hart,under 500,"-2,375","1,070","-1,918","-1,202",under 500,"1,422",-512,"2,555",754
21101,Kentucky,Henderson,"-1,743","-1,314",725,"3,695","2,804","2,512","4,818","2,195","1,785","1,421"
21103,Kentucky,Henry,under 500,-847,under 500,-826,under 500,under 500,"1,830",under 500,"2,237",under 500
21105,Kentucky,Hickman,"-1,506","-1,519",under 500,"-1,364","-1,031",under 500,under 500,under 500,under 500,under 500
21107,Kentucky,Hopkins,under 500,"3,316",under 500,"1,026",under 500,under 500,"8,007",under 500,under 500,under 500
21109,Kentucky,Jackson,953,"-1,220","5,872","-3,238","-2,424",-672,"1,991",under 500,"1,540",under 500
21111,Kentucky,Jefferson,"23,449","68,981","30,042","99,223","126,332","84,108","-10,051","-20,067","28,670","47,489"
21113,Kentucky,Jessamine,under 500,under 500,under 500,under 500,"1,167","3,805","8,716","4,362","8,533","9,545"
21115,Kentucky,Johnson,"2,140","3,346","2,803","-1,925","-4,098","-2,209","6,893","-1,184",under 500,under 500
21117,Kentucky,Kenton,"3,098","20,081",under 500,"11,115","16,446","8,740","7,618","4,973","9,433","8,256"
21119,Kentucky,Knott,864,"3,575","4,777",under 500,"-2,958","-2,664","3,242",under 500,under 500,"-1,303"
21121,Kentucky,Knox,"2,056","2,094","4,763",-620,"-5,151","-1,569","6,550",-563,"2,107",under 500
21123,Kentucky,Larue,-697,-911,529,under 500,under 500,under 500,"1,250",under 500,"1,697",817
21125,Kentucky,Laurel,under 500,"1,295","4,531",under 500,-896,"2,485","11,596","4,456","9,277","6,134"
21127,Kentucky,Lawrence,"-2,424",-930,562,"-2,857","-2,284","-1,408","3,395",under 500,"1,571",under 500
21129,Kentucky,Lee,"2,387","-2,189","1,131","-2,121","-1,319",-833,"1,167",under 500,under 500,under 500
21131,Kentucky,Leslie,"1,121",668,"4,216",556,"-4,596",682,"3,259","-1,240","-1,241","-1,091"
21133,Kentucky,Letcher,"13,844","11,235","4,890","-1,070","-9,420","-6,937","7,522","-3,687","-1,723",-758
21135,Kentucky,Lewis,"-1,058","-1,514","1,371","-2,166",under 500,-760,"2,190","-1,516","1,063",under 500
21137,Kentucky,Lincoln,"-1,416","1,206","2,172","-1,191","-2,165",under 500,"2,390",992,"3,316","1,381"
21139,Kentucky,Livingston,-895,"-1,124",519,"-1,943",under 500,567,"1,623",under 500,742,under 500
21141,Kentucky,Logan,"-1,344","-1,758","1,470","-1,010","-1,439",897,"2,345",under 500,"2,157",under 500
21143,Kentucky,Lyon,-628,under 500,537,"-2,214",-929,under 500,928,under 500,"1,456",under 500
21145,Kentucky,McCracken,"2,182","9,025","2,263",603,"8,169",975,"3,029","1,569","2,635",under 500
21147,Kentucky,McCreary,627,"2,951","1,824",under 500,"-4,197",under 500,"3,086",under 500,"1,477","1,226"
21149,Kentucky,McLean,-739,"-1,430",under 500,"-1,425",-666,under 500,"1,028",under 500,under 500,under 500
21151,Kentucky,Madison,-667,"1,337",920,"2,638","2,303","9,248","10,622","4,156","13,364","12,044"
21153,Kentucky,Magoffin,under 500,"1,860","1,771","-3,651","-2,683",-713,"3,072",under 500,under 500,under 500
21155,Kentucky,Marion,-803,under 500,"1,414",under 500,under 500,under 500,"1,196","-1,411","1,716","1,605"
21157,Kentucky,Marshall,-556,"-2,326","3,713","-3,215","3,349","3,645","5,256","1,568","2,920","1,323"
21159,Kentucky,Martin,under 500,930,"2,386",707,"-1,476",-824,"4,548","-1,399",under 500,under 500
21161,Kentucky,Mason,-851,"1,102",under 500,-580,under 500,"-1,181",under 500,"-1,099",under 500,687
21163,Kentucky,Meade,under 500,"-1,400",785,595,"9,516",under 500,"4,058","1,316","2,179","2,253"
21165,Kentucky,Menifee,under 500,-821,733,-893,-522,under 500,"1,067",under 500,"1,464",under 500
21167,Kentucky,Mercer,732,under 500,under 500,under 500,under 500,"1,364","3,051",under 500,"1,669",514
21169,Kentucky,Metcalfe,under 500,-698,"1,540","-1,002","-1,484",under 500,"1,307",-521,"1,074",under 500
21171,Kentucky,Monroe,551,"-1,137",993,under 500,"-1,971",under 500,711,-952,under 500,-793
21173,Kentucky,Montgomery,-623,-585,620,745,under 500,"1,903","4,682",under 500,"2,993","3,945"
21175,Kentucky,Morgan,under 500,"-1,388","1,697","-3,203","-2,568","-1,037","2,084",under 500,"2,300",under 500
21177,Kentucky,Muhlenberg,"4,755","4,431",under 500,"-5,053","-4,710",under 500,"4,701",-920,521,under 500
21179,Kentucky,Nelson,-693,under 500,"1,453","1,517","2,647","1,309","4,107","2,126","7,767","5,960"
21181,Kentucky,Nicholas,-707,"-1,323",under 500,"-1,085",-855,under 500,649,under 500,under 500,under 500
21183,Kentucky,Ohio,"-1,169","-2,004",under 500,"-3,581","-3,115","1,065","2,975",-660,"1,811",926
21185,Kentucky,Oldham,under 500,under 500,"3,314",under 500,"2,370","1,299","13,108","5,468","13,355","13,698"
21187,Kentucky,Owen,"-1,694","-1,844",under 500,"-1,187","-1,518",-767,"1,454",under 500,"1,512",under 500
21189,Kentucky,Owsley,under 500,-597,"1,734","-1,633","-1,955",under 500,686,-673,under 500,under 500
21191,Kentucky,Pendleton,under 500,-843,under 500,-782,under 500,under 500,"1,040","1,047","2,354",under 500
21193,Kentucky,Perry,"14,787","16,144","5,642","-1,262","-11,605","-9,247","8,049","-3,480",-861,-710
21195,Kentucky,Pike,"17,798","13,790","7,855","10,032","-12,890","-7,205","20,064","-8,540","-3,849","-3,710"
21197,Kentucky,Powell,under 500,-945,"1,871",-859,under 500,"1,030","3,397",585,"1,551",-624
21199,Kentucky,Pulaski,"2,802","1,630","4,223","-1,411","-4,049",831,"10,569","3,686","6,728","6,846"
21201,Kentucky,Robertson,under 500,-527,under 500,-538,under 500,under 500,under 500,under 500,under 500,under 500
21203,Kentucky,Rockcastle,933,under 500,"2,016","-3,240","-1,591",under 500,"1,668",830,"1,779",under 500
21205,Kentucky,Rowan,under 500,"1,426","1,841",under 500,under 500,"4,202","2,039","1,304","1,741","1,239"
21207,Kentucky,Russell,993,under 500,"1,685",under 500,"-2,641",-534,"3,166","1,008","1,599","1,250"
21209,Kentucky,Scott,"-1,638",-918,under 500,827,under 500,"2,572","3,865","2,054","9,194","14,112"
21211,Kentucky,Shelby,under 500,-853,under 500,under 500,581,506,"4,329","1,496","8,513","8,737"
21213,Kentucky,Simpson,under 500,under 500,under 500,under 500,under 500,"1,506","1,619",under 500,"1,260",922
21215,Kentucky,Spencer,under 500,"-1,179",under 500,-600,under 500,under 500,under 500,872,"4,965","5,295"
21217,Kentucky,Taylor,under 500,under 500,"1,509",847,"1,882",853,"4,040",under 500,"1,778","1,588"
21219,Kentucky,Todd,-794,"-2,174",714,"-1,344","-1,526",-541,"1,051",-934,"1,032",under 500
21221,Kentucky,Trigg,under 500,"-1,677",under 500,"-3,101",-813,under 500,764,977,"2,236","1,742"
21223,Kentucky,Trimble,-501,-663,under 500,under 500,under 500,under 500,904,under 500,"2,035",684
21225,Kentucky,Union,"-1,846",-987,under 500,"-2,518",under 500,"1,345","1,939","-1,264",-920,-630
21227,Kentucky,Warren,under 500,"2,818","2,955","6,127","2,733","11,941","14,396","4,845","15,849","21,270"
21229,Kentucky,Washington,833,"-2,150",under 500,under 500,"-1,609",under 500,under 500,under 500,under 500,801
21231,Kentucky,Wayne,under 500,under 500,"1,356",-729,"-1,775",under 500,"2,754",under 500,"2,455",890
21233,Kentucky,Webster,under 500,under 500,"-1,336","-3,643","-1,311",-962,"1,550",-877,under 500,under 500
21235,Kentucky,Whitley,"1,096","1,981","3,456","-1,246","-6,125","-1,670","9,251",under 500,"2,544",under 500
21237,Kentucky,Wolfe,"-1,081",under 500,"1,572","-2,382","-1,081",-865,"1,029",under 500,562,under 500
,,,,,,,,,,,,
